 [2019-05-16 10:41:20,885] INFO    31[main] - applications.Main.main(Main.java:44) - 正在对读入文本进行正则表达式解析！
 [2019-05-16 10:41:20,885]ERROR    31[main] - circularOrbit.TrackGame.Analysis(TrackGame.java:146) - 运动员第二个参数不是纯数字，重新输入文件
 [2019-05-16 10:41:25,115] INFO  4261[main] - applications.Main.main(Main.java:48) - 输出应用一的选择菜单
 [2019-05-16 11:14:59,099] INFO    15[main] - applications.Main.main(Main.java:39) - 选择trackgame应用
 [2019-05-16 11:14:59,115] INFO    31[main] - applications.Main.main(Main.java:43) - 读取trackgame.txt的信息
 [2019-05-16 11:14:59,115] INFO    31[main] - applications.Main.main(Main.java:47) - 正在对读入文本进行正则表达式解析！
 [2019-05-16 11:14:59,132]ERROR    48[main] - circularOrbit.TrackGame.Analysis(TrackGame.java:146) - 运动员第二个参数不是纯数字，重新输入文件
 [2019-05-16 11:15:03,876] INFO  4792[main] - applications.Main.main(Main.java:51) - 输出应用一的选择菜单
 [2019-05-16 11:15:37,145] INFO     0[main] - applications.Main.main(Main.java:39) - 选择trackgame应用
 [2019-05-16 11:15:37,180] INFO    35[main] - applications.Main.main(Main.java:43) - 读取trackgame.txt的信息
 [2019-05-16 11:15:37,181] INFO    36[main] - applications.Main.main(Main.java:47) - 正在对读入文本进行正则表达式解析！
 [2019-05-16 11:15:37,186]ERROR    41[main] - circularOrbit.TrackGame.Analysis(TrackGame.java:146) - 运动员第二个参数不是纯数字，重新输入文件
 [2019-05-16 11:15:42,049] INFO  4904[main] - applications.Main.main(Main.java:51) - 输出应用一的选择菜单
 [2019-05-16 11:16:14,547] INFO     0[main] - applications.Main.main(Main.java:39) - 选择trackgame应用
 [2019-05-16 11:16:14,563] INFO    16[main] - applications.Main.main(Main.java:43) - 读取trackgame.txt的信息
 [2019-05-16 11:16:14,563] INFO    16[main] - applications.Main.main(Main.java:47) - 正在对读入文本进行正则表达式解析！
 [2019-05-16 11:16:14,579]ERROR    32[main] - circularOrbit.TrackGame.Analysis(TrackGame.java:146) - 运动员第二个参数不是纯数字，重新输入文件
 [2019-05-16 11:16:18,487] INFO  3940[main] - applications.Main.main(Main.java:51) - 输出应用一的选择菜单
 [2019-05-16 15:26:37,366] INFO     0[main] - applications.Main.main(Main.java:39) - 选择trackgame应用
 [2019-05-16 15:26:37,428] INFO    62[main] - applications.Main.main(Main.java:43) - 读取trackgame.txt的信息
