 [2019-06-18 21:32:54,318] INFO 42909[Thread-22863] - lab6.monkey.run(monkey.java:153) - 28 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-24067] - lab6.monkey.run(monkey.java:144) - 猴子 4068 在等待在 
 [2019-06-18 21:32:54,318] INFO 42909[Thread-24067] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 21:32:54,318] INFO 42909[Thread-24067] - lab6.monkey.run(monkey.java:153) - 28 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-21575] - lab6.monkey.run(monkey.java:144) - 猴子 1576 在等待在 
 [2019-06-18 21:32:54,318] INFO 42909[Thread-21575] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 21:32:54,318] INFO 42909[Thread-21575] - lab6.monkey.run(monkey.java:153) - 27 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-21147] - lab6.monkey.run(monkey.java:144) - 猴子 1148 在等待在 
 [2019-06-18 21:32:54,318] INFO 42909[Thread-21147] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 21:32:54,318] INFO 42909[Thread-21147] - lab6.monkey.run(monkey.java:153) - 28 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-21867] - lab6.monkey.run(monkey.java:144) - 猴子 1868 在等待在 
 [2019-06-18 21:32:54,318] INFO 42909[Thread-21867] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 21:32:54,318] INFO 42909[Thread-21867] - lab6.monkey.run(monkey.java:153) - 28 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-21193] - lab6.monkey.run(monkey.java:144) - 猴子 1194 在等待在 
 [2019-06-18 21:32:54,318] INFO 42909[Thread-21193] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 21:32:54,318] INFO 42909[Thread-21193] - lab6.monkey.run(monkey.java:153) - 28 秒过去出生后
 [2019-06-18 21:32:54,334] INFO 42925[Thread-21711] - lab6.monkey.run(monkey.java:144) - 猴子 1712 在等待在 
 [2019-06-18 21:32:54,334] INFO 42925[Thread-21711] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 21:32:54,334] INFO 42925[Thread-21711] - lab6.monkey.run(monkey.java:153) - 27 秒过去出生后
 [2019-06-18 21:32:54,334] INFO 42925[Thread-21453] - lab6.monkey.run(monkey.java:144) - 猴子 1454 在等待在 
 [2019-06-18 21:32:54,334] INFO 42925[Thread-21453] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 21:32:54,334] INFO 42925[Thread-21453] - lab6.monkey.run(monkey.java:153) - 29 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-21701] - lab6.monkey.run(monkey.java:144) - 猴子 1702 在等待在 
 [2019-06-18 21:32:54,334] INFO 42925[Thread-21701] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 21:32:54,334] INFO 42925[Thread-21701] - lab6.monkey.run(monkey.java:153) - 27 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-21439] - lab6.monkey.run(monkey.java:144) - 猴子 1440 在等待在 
 [2019-06-18 21:32:54,334] INFO 42925[Thread-21439] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 21:32:54,334] INFO 42925[Thread-21530] - lab6.monkey.run(monkey.java:144) - 猴子 1531 在等待在 
 [2019-06-18 21:32:54,334] INFO 42925[Thread-21530] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 21:32:54,334] INFO 42925[Thread-21530] - lab6.monkey.run(monkey.java:153) - 30 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-23359] - lab6.monkey.run(monkey.java:144) - 猴子 3360 在等待在 
 [2019-06-18 21:32:54,334] INFO 42925[Thread-23359] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 21:32:54,334] INFO 42925[Thread-23359] - lab6.monkey.run(monkey.java:153) - 28 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-20853] - lab6.monkey.run(monkey.java:144) - 猴子 854 在等待在 
 [2019-06-18 21:32:54,334] INFO 42925[Thread-20853] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 21:32:54,334] INFO 42925[Thread-20853] - lab6.monkey.run(monkey.java:153) - 28 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-21657] - lab6.monkey.run(monkey.java:144) - 猴子 1658 在等待在 
 [2019-06-18 21:32:54,334] INFO 42925[Thread-21657] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 21:32:54,334] INFO 42925[Thread-21657] - lab6.monkey.run(monkey.java:153) - 30 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-23355] - lab6.monkey.run(monkey.java:144) - 猴子 3356 在等待在 
 [2019-06-18 21:32:54,334] INFO 42925[Thread-23355] - lab6.monkey.run(monkey.java:146) - 左边
